Area,Age,Number of Rooms,Bedrooms,Area Population,Price,Address
79545.46,6,7,4,23086.8005,1059033.56,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79248.64,6,7,3,40173.07217,1505890.92,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287.07,6,9,5,36882.1594,1058987.99,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345.24,7,6,3,34310.24283,1260616.81,"USS Barnett
FPO AP 44820"
59982.20,5,8,4,26354.10947,630943.49,"USNS Raymond
FPO AE 09386"
80175.75,5,6,4,26748.42842,1068138.07,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698.46,6,8,3,60828.24909,1502055.82,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394.34,7,7,2,36516.35897,1573936.56,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59927.66,5,6,2,29387.396,798869.53,"USS Gilbert
FPO AA 20957"
81885.93,4,8,6,40149.96575,1545154.81,"Unit 9446 Box 0958
DPO AE 97025"
80527.47,8,5,4,47224.35984,1707045.72,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50593.70,4,7,4,34343.99189,663732.40,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39033.81,8,7,3,39220.36147,1042814.10,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73163.66,7,6,2,32326.12314,1291331.52,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391.38,5,8,4,35521.29403,1402818.21,"PSC 5330, Box 4420
APO AP 08302"
73091.87,5,9,4,23929.52405,1306674.66,"2278 Shannon View
North Carriemouth, NM 84617"
79706.96,5,8,3,39717.81358,1556786.60,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61929.08,5,5,4,24595.9015,528485.25,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63508.19,6,7,5,35719.65305,1019425.94,"Unit 7424 Box 2786
DPO AE 71255"
62085.28,6,7,5,44922.1067,1030591.43,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
86295.00,7,8,4,47560.77534,2146925.34,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
60835.09,6,7,2,45574.74166,929247.60,"USNS Brown
FPO AP 85833"
64490.65,4,5,4,40358.96011,718887.23,"95198 Ortiz Key
Port Sara, TN 24541-2855"
